sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
25670_,0.78,43.088,-17.477,188.426,183.896,52.768,90.573,254.942,21,19,5.389,1.741,85.507,of locally unvoiced frames: 85.507%   (59 / 69),1,81.104,of voice breaks: 81.104%   (0.632284 seconds / 0.779594 seconds),8.992,484.615,4.418,5.88,32.724,3.287,16.656,24.438,22.152,0.702,0.485,4.21,1002.483,1947.574,3124.623,4136.426
25674_ĐẠ_single,0.352,59.094,-6.446,187.179,170.783,35.438,72.886,193.276,47,46,5.773,1.433,13.793,of locally unvoiced frames: 13.793%   (4 / 29),0,0,of voice breaks: 0   (0 seconds / 0.352482 seconds),3.409,196.773,0.652,1.059,2.629,0.265,0.875,1.205,2.041,0.883,0.18,13.489,991.748,1846.906,2788.277,3864.567
25678_,0.749,39.729,-18.525,371.306,370.646,1.317,369.129,371.733,14,13,2.704,0.086,78.788,of locally unvoiced frames: 78.788%   (52 / 66),0,0,of voice breaks: 0   (0 seconds / 0.749024 seconds),2.757,74.561,1.571,2.7,60.694,7.669,21.656,49.675,69.239,0.814,0.229,6.432,1028.537,1855.728,3027.385,4033.404
25682_ĐẠ_single,0.329,58.694,-6.665,190.096,178.091,31.618,71.077,199.372,53,52,5.66,1.462,0,of locally unvoiced frames: 0   (0 / 27),0,0,of voice breaks: 0   (0 seconds / 0.329156 seconds),3.269,185.035,0.675,0.985,3.439,0.376,1.234,1.566,2.285,0.91,0.146,14.251,1017.996,1912.419,2899.373,3956.41
25686_,0.789,36.773,-23.367,203.847,209.086,19.719,192.414,236.236,10,9,4.803,0.552,84.286,of locally unvoiced frames: 84.286%   (59 / 70),0,0,of voice breaks: 0   (0 seconds / 0.788909 seconds),4.258,204.487,1.471,2.051,13.587,1.191,5.824,9.559, --undefined-- ,0.885,0.144,10.778,1041.153,1929.882,3116.741,4156.688
25690_ĐÀ_single,0.608,57.342,-10.104,169.413,169.332,9.628,154.819,195.252,98,97,5.9,0.336,0,of locally unvoiced frames: 0   (0 / 53),0,0,of voice breaks: 0   (0 seconds / 0.608197 seconds),0.855,50.432,0.425,0.466,2.938,0.34,1.263,1.434,1.957,0.975,0.026,17.139,958.624,1869.957,2879.769,3776.241
25694_,0.551,34.314,-17.685,82.359,83.58,3.845,80.494,87.888,3,2,11.849,0.731,81.25,of locally unvoiced frames: 81.250%   (39 / 48),0,0,of voice breaks: 0   (0 seconds / 0.550756 seconds),8.723,1033.56, --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.688,0.504,3.85,951.763,1943.443,3095.614,4217.669
25698_ĐÀ_single,0.524,57.843,-8.427,167.364,167.347,8.973,155.242,197.787,83,82,5.964,0.333,0,of locally unvoiced frames: 0   (0 / 45),0,0,of voice breaks: 0   (0 seconds / 0.523725 seconds),0.74,44.16,0.274,0.346,3.473,0.398,1.469,1.655,1.927,0.976,0.026,18.528,956.734,1884.314,2838.297,3776.08
25702_,0.661,33.535,-18.895,188.271,188.618,2.745,186.063,191.519,7,6,5.34,0.104,93.103,of locally unvoiced frames: 93.103%   (54 / 58),0,0,of voice breaks: 0   (0 seconds / 0.660866 seconds),2.825,150.832,1.593,1.763,21.263,1.844,9.165,21.512, --undefined-- ,0.904,0.119,11.826,1004.625,1988.369,3146.163,4209.573
25706_ĐA_single,0.565,58.761,-11.891,202.21,204.784,11.084,184.583,232.348,109,108,4.883,0.261,0,of locally unvoiced frames: 0   (0 / 49),0,0,of voice breaks: 0   (0 seconds / 0.565265 seconds),0.417,20.347,0.166,0.202,2.208,0.263,0.828,1.186,1.489,0.988,0.013,21.339,857.815,1820.086,2791.807,3806.208
