sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
26086_,2.174,47.653,-21.619,200.989,206.867,24.665,173.691,289.751,192,188,4.873,0.6,56.031,of locally unvoiced frames: 56.031%   (144 / 257),3,56.647,of voice breaks: 56.647%   (1.231586 seconds / 2.174147 seconds),3.699,180.223,2.101,1.985,12.834,1.379,6.437,7.647,10.624,0.922,0.119,16.401,669.325,1813.487,2882.662,3818.106
26090_đề,0.394,55.067,-20.279,157.179,157.927,6.016,149.734,169.287,60,59,6.325,0.249,0,of locally unvoiced frames: 0   (0 / 44),0,0,of voice breaks: 0   (0 seconds / 0.394299 seconds),0.783,49.555,0.354,0.384,5.22,0.536,1.814,3.29,4.343,0.988,0.014,25.113,360.683,2365.916,2973.203,3949.7
26094_,2.121,48.923,-23.009,186.061,184.222,57.393,97.81,611.317,228,220,5.358,1.241,39.442,of locally unvoiced frames: 39.442%   (99 / 251),7,42.808,of voice breaks: 42.808%   (0.907964 seconds / 2.121035 seconds),1.94,103.964,1.011,0.853,8.687,1.232,2.972,4.536,7.815,0.952,0.062,18.87,556.058,1813.832,2897.472,3888.267
26098_đề,0.34,52.677,-20.068,158.097,158.986,4.006,154.243,168.872,51,50,6.276,0.207,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.339607 seconds),0.955,59.939,0.503,0.512,4.194,0.364,1.876,2.057,2.51,0.987,0.016,23.847,356.14,2385.497,3027.466,4117.483
26102_,2.373,48.359,-24.526,183.873,178.075,26.228,91.7,227.144,243,239,5.668,1.086,39.146,of locally unvoiced frames: 39.146%   (110 / 281),3,39.869,of voice breaks: 39.869%   (0.946118 seconds / 2.373041 seconds),3.043,172.488,1.549,1.867,14.047,1.466,6.809,8.239,12.187,0.926,0.113,16.347,494.498,1799.695,2916.078,3886.15
26106_đế,0.331,52.406,-21.493,160.261,144.681,27.815,79.991,183.385,46,45,6.881,1.469,0,of locally unvoiced frames: 0   (0 / 36),0,0,of voice breaks: 0   (0 seconds / 0.331269 seconds),1.576,108.436,0.407,0.389,3.98,0.446,1.05,1.544,2.901,0.982,0.019,21.815,384.978,2546.589,3065.201,4202.627
26110_,2.227,47.59,-21.084,184.42,181.601,29.979,88.052,289.551,240,232,5.478,0.902,37.879,of locally unvoiced frames: 37.879%   (100 / 264),7,41.923,of voice breaks: 41.923%   (0.933421 seconds / 2.226514 seconds),3.026,165.752,1.669,1.538,11.535,1.672,5.208,6.239,8.398,0.915,0.125,16.848,581.582,1788.593,2967.046,3952.376
26114_đế,0.321,49.681,-22.611,162.923,172.777,21.566,155.765,230.468,52,51,5.771,0.688,0,of locally unvoiced frames: 0   (0 / 35),0,0,of voice breaks: 0   (0 seconds / 0.321498 seconds),1.475,85.14,0.604,0.525,6.488,0.632,3.245,4.207,3.574,0.985,0.017,22.894,347.243,2538.128,3032.602,4177.96
26118_,2.268,48.394,-23.94,190.805,186.842,22.258,143.705,252.383,255,250,5.349,0.663,39.033,of locally unvoiced frames: 39.033%   (105 / 269),4,40.17,of voice breaks: 40.170%   (0.911259 seconds / 2.268498 seconds),2.131,113.981,1.232,1.123,9.789,1.197,4.151,4.824,8.827,0.948,0.076,19.258,602.98,1795.677,2950.743,3931.611
26122_để,0.241,50.907,-20.954,149.01,148.464,11.15,131.809,166.151,26,25,6.691,0.542,20,of locally unvoiced frames: 20.000%   (5 / 25),0,0,of voice breaks: 0   (0 seconds / 0.241010 seconds),1.925,128.779,0.942,0.88,7.795,1.047,2.56,3.631,6.779,0.942,0.086,16.078,493.311,2447.667,3011.36,4013.222
