sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
thũ ,0.426,63.682,-29.692,288.275,287.075,16.463,250.727,310.273,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 95),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.988,0.013,24.161,449.371,787.62,3205.331,3691.029
thũ ,0.451,65.867,-29.692,280.71,281.317,13.575,259.766,318.678,120,119,3.557,0.175,0.99,of locally unvoiced frames: 0.990%   (1 / 101),0,0,of voice breaks: 0   (0 seconds / 0.450806 seconds),1.252,44.538,0.647,0.616,5.043,0.473,2.588,2.101,3.073,0.982,0.02,21.046,449.371,787.62,3205.331,3691.029
thú ,0.492,62.685,-35.192,225.798,253.418,54.325,197.122,343.622,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 111),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.991,0.009,22.433,376.327,670.824,3061.641,3793.234
thú ,0.366,65.092,-35.192,211.102,220.105,28.326,192.168,288.038,76,75,4.498,0.597,0,of locally unvoiced frames: 0   (0 / 80),0,0,of voice breaks: 0   (0 seconds / 0.365615 seconds),0.884,39.771,0.293,0.353,2.95,0.288,1.43,1.538,2.391,0.99,0.01,23.377,376.327,670.824,3061.641,3793.234
thù ,0.49,66.157,-40.23,188.437,194.669,21.698,175.335,263.415,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 110),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.994,0.007,25.442,359.104,730.369,2918.664,3894.287
thù ,0.467,61.334,-40.23,180.997,191.3,19.493,171.409,253.255,84,83,5.259,0.53,0,of locally unvoiced frames: 0   (0 / 105),0,0,of voice breaks: 0   (0 seconds / 0.467394 seconds),1.281,67.365,0.542,0.274,3.759,0.394,1.771,1.671,2.36,0.986,0.017,23.559,359.104,730.369,2918.664,3894.287
thủ ,0.476,62.034,-34.138,160.313,168.016,54.157,77.14,277.144,2,0, --undefined-- , --undefined-- ,3.738,of locally unvoiced frames: 3.738%   (4 / 107),0,0,of voice breaks: 0   (0 seconds / 0.475837 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.919,0.128,16.644,362.293,683.335,2888.902,3914.42
thủ ,0.306,61.314,-34.138,185.225,196.683,25.728,168.616,266.028,56,55,5.125,0.602,0,of locally unvoiced frames: 0   (0 / 66),0,0,of voice breaks: 0   (0 seconds / 0.305825 seconds),1.042,53.406,0.314,0.326,5.681,0.444,3.434,2.254,3.351,0.987,0.013,21.269,362.293,683.335,2888.902,3914.42
đu ,0.555,63.542,-25.558,251.84,249.558,8.817,215.109,260.393,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 126),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.978,0.031,24.995,358.137,715.306,3129.889,3649.206
đu ,0.463,63.648,-25.558,242.255,241.536,3.556,218.425,246.795,106,105,4.15,0.094,0,of locally unvoiced frames: 0   (0 / 104),0,0,of voice breaks: 0   (0 seconds / 0.463095 seconds),0.851,35.326,0.532,0.322,2.186,0.296,1.079,1.238,1.555,0.995,0.006,28.542,358.137,715.306,3129.889,3649.206
