sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
tệt ,0.114,66.644,-12.637,140.782,142.612,9.504,130.707,162.444,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 20),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.884,0.138,9.697,470.797,1977.785,2614.84,3501.64
tệt ,0.122,64.901,-12.637,135.304,135.837,8.153,125.761,156.872,15,14,7.44,0.472,0,of locally unvoiced frames: 0   (0 / 22),0,0,of voice breaks: 0   (0 seconds / 0.122141 seconds),1.734,128.983,0.277,0.459,4.409,0.413,1.031,1.607,3.779,0.905,0.126,11.887,470.797,1977.785,2614.84,3501.64
tết ,0.125,68.366,-13.94,203.428,202.687,10.822,186.873,216.568,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 23),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.963,0.039,16.347,530.989,1926.923,2645.71,3622.323
tết ,0.118,67.393,-13.94,199.507,197.521,11.664,179.896,212.491,20,19,5.014,0.315,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0.117817 seconds),1.055,52.875,0.092,0.179,2.185,0.183,0.412,0.886,3.229,0.96,0.042,15.595,530.989,1926.923,2645.71,3622.323
ệ ,0.182,62.898,-9.362,143.245,142.265,4.7,130.107,147.314,1,0, --undefined-- , --undefined-- ,2.778,of locally unvoiced frames: 2.778%   (1 / 36),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.897,0.171,13.554,460.459,2069.588,2742.269,3623.586
ệ ,0.173,59.245,-9.362,148.029,151.423,6.994,142.892,162.053,23,22,6.597,0.32,0,of locally unvoiced frames: 0   (0 / 34),0,0,of voice breaks: 0   (0 seconds / 0.173157 seconds),1.547,102.027,0.771,1.061,13.35,1.502,5.137,5.487,13.736,0.87,0.167,9.782,460.459,2069.588,2742.269,3623.586
ể ,0.29,62.372,-13,120.905,116.099,29.286,59.975,162.344,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 62),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.874,0.181,9.755,440.566,2077.809,2523.079,3436.872
ể ,0.206,62.427,-13,130.347,127.018,11.721,105.953,144.598,24,23,8.006,0.854,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0.206069 seconds),1.572,125.887,0.229,0.397,4.741,0.444,1.539,2.146,4.715,0.933,0.076,13.576,440.566,2077.809,2523.079,3436.872
ế ,0.349,63.626,-11.098,130.708,148.619,30.75,124.086,228.193,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 76),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.959,0.044,16.199,393.495,2148.012,2624.179,3612.995
ế ,0.347,62.564,-11.098,128.184,155.425,42.033,122.011,244.111,51,50,6.339,1.647,0,of locally unvoiced frames: 0   (0 / 76),0,0,of voice breaks: 0   (0 seconds / 0.346522 seconds),1.399,88.701,0.18,0.269,4.024,0.373,0.955,1.624,4.177,0.957,0.047,16.949,393.495,2148.012,2624.179,3612.995
